# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
0 2.750438546624e-02 1.090433902177e-02 -2.121991371131e-10 2.121991371131e-10 3.072841789146e-05 5.848791583711e-06 5.130633342608e-03 1.797241119443e-10 0
1 1.083771879957e-02 2.757100568843e-02 -1.954708252126e-10 1.954708252126e-10 2.269290868882e-05 5.761382431570e-06 1.128050074630e-02 1.307425254410e-10 0
2 5.170332018737e-02 2.440097017263e-02 -7.875326888034e-10 7.875326888034e-10 5.430208052314e-05 1.396607158638e-05 1.001691616262e-02 7.583867438756e-10 0
3 2.413325206174e-02 5.194489056617e-02 -5.265468636376e-10 5.265468636376e-10 4.319194322575e-05 1.034344560873e-05 2.014021795370e-02 4.467535154908e-10 0
4 4.833218678287e-02 4.877485505037e-02 -9.533920506433e-10 9.533920506433e-10 5.680248171042e-05 1.484666259882e-05 1.906966763107e-02 8.433272807303e-10 0
5 7.419893472113e-02 1.349663115086e-02 -2.393701401084e-09 2.393701401084e-09 1.010349108502e-04 2.066490345387e-05 6.434309758214e-03 2.087876678190e-09 0
6 1.329553326217e-02 7.437388487774e-02 -1.413814486030e-09 1.413814486030e-09 5.591370836036e-05 1.750317336072e-05 2.861882868107e-02 9.786673306720e-10 0
7 6.773997637299e-02 6.873175598808e-02 -3.422974336099e-09 3.422974336099e-09 1.034105980490e-04 2.929543549370e-05 2.690610982140e-02 3.029458504510e-09 0
8 9.827983946909e-02 2.837069741977e-02 -5.289680693196e-09 5.289680693196e-09 1.584106449156e-04 2.857265468714e-05 1.187061912823e-02 4.526212655941e-09 0
9 9.519201452545e-02 5.923193737925e-02 -8.248754589846e-09 8.248754589846e-09 1.874996084311e-04 3.946618123510e-05 2.367719780123e-02 7.399893527850e-09 0
10 2.772207528221e-02 9.871697603594e-02 -2.783002931317e-09 2.783002931317e-09 9.632268448125e-05 2.436966688647e-05 3.774452914161e-02 2.347351734418e-09 0
11 5.796758367190e-02 9.624488266209e-02 -4.755423364051e-09 4.755423364051e-09 1.352319608270e-04 3.204471592159e-05 3.711273314732e-02 4.333469768220e-09 0
12 1.240809047480e-01 1.487406626891e-02 -9.585283720247e-09 9.585283720247e-09 2.180677568157e-04 3.766778440844e-05 7.301790975994e-03 8.214129250166e-09 0
13 1.442654202004e-02 1.243430911582e-01 -3.290404901569e-09 3.290404901569e-09 7.770535748880e-05 3.004296917804e-05 4.710762332847e-02 2.334499660005e-09 0
14 1.198254371817e-01 7.573752689770e-02 -1.275450139438e-08 1.275450139438e-08 2.479160310848e-04 4.348488100012e-05 3.041817155174e-02 1.078059910974e-08 0
15 7.328745988973e-02 1.213155518588e-01 -7.460405883774e-09 7.460405883774e-09 1.692257750754e-04 4.210509792861e-05 4.672148290144e-02 7.125267831592e-09 0
16 1.485254013916e-01 2.980388534587e-02 -1.583761864055e-08 1.583761864055e-08 2.993535165748e-04 4.406554175339e-05 1.293172419630e-02 1.319117488365e-08 0
17 1.473577587689e-01 5.980610601518e-02 -1.846860968942e-08 1.846860968942e-08 3.227487222327e-04 4.900946341975e-05 2.473879025914e-02 1.581774169603e-08 0
18 1.205254568520e-01 1.037421332823e-01 -1.083709043842e-08 1.083709043842e-08 2.335390034116e-04 4.196594552343e-05 4.119718446293e-02 9.800685094766e-09 0
19 1.003085089547e-01 1.231844666874e-01 -7.394004624812e-09 7.394004624812e-09 1.952567146276e-04 3.983242487252e-05 4.806229564607e-02 7.777548416257e-09 0
20 2.874814242602e-02 1.490712560559e-01 -3.681685669274e-09 3.681685669274e-09 9.675250761841e-05 3.652023202349e-05 5.614999446000e-02 3.533424027079e-09 0
21 5.736355190601e-02 1.485158101303e-01 -5.104631882167e-09 5.104631882167e-09 1.517378006815e-04 3.834938932862e-05 5.634221290421e-02 5.819051994204e-09 0
22 1.744444966436e-01 1.492981907696e-02 -2.439185297409e-08 2.439185297409e-08 3.796583793911e-04 5.404323740786e-05 7.670499876143e-03 2.051796793132e-08 0
23 1.723829038151e-01 7.487134020338e-02 -2.810017341003e-08 2.810017341003e-08 4.241775107480e-04 5.589160480529e-05 3.147590416428e-02 2.370796179802e-08 0
24 1.432160040598e-02 1.747281648977e-01 -1.673502209463e-09 1.673502209463e-09 4.758203258575e-05 3.964066064881e-05 6.512620980190e-02 1.886183206712e-09 0
25 1.471234984538e-01 1.194606970413e-01 -1.519239771965e-08 1.519239771965e-08 2.800414016457e-04 4.949484179545e-05 4.826261431558e-02 1.386060487063e-08 0
26 1.126346219780e-01 1.498367101760e-01 -7.793169129828e-09 7.793169129828e-09 2.447069810037e-04 3.857129033749e-05 5.832913479501e-02 9.438664011905e-09 0
27 1.714486238295e-01 1.065213248448e-01 -3.584768343389e-08 3.584768343389e-08 4.782553624502e-04 6.765968531715e-05 4.423453874552e-02 3.235860732462e-08 0
28 7.148806896761e-02 1.738398461739e-01 -4.983747586075e-09 4.983747586075e-09 2.007618304693e-04 4.355978478308e-05 6.570349062007e-02 8.745142127897e-09 0
29 1.989789014958e-01 2.974567155965e-02 -3.596835181027e-08 3.596835181027e-08 4.858180800551e-04 6.122810653026e-05 1.361250249882e-02 2.974572115994e-08 0
30 1.980849512899e-01 5.968497201676e-02 -3.890969339558e-08 3.890969339558e-08 5.050801211440e-04 6.514914360250e-05 2.602942684201e-02 3.290553734318e-08 0
31 9.973808997461e-02 1.732918313910e-01 -8.201352021053e-09 8.201352021053e-09 2.839872343423e-04 4.625126005286e-05 6.639183136618e-02 1.313476742726e-08 0
32 1.408627624894e-01 1.469719598200e-01 -1.375485471800e-08 1.375485471800e-08 3.493746170580e-04 4.734934022109e-05 5.844047518174e-02 1.654265760769e-08 0
33 2.858437856296e-02 1.996231923710e-01 1.173597199093e-09 1.173597199093e-09 1.014130625826e-04 4.447801637157e-05 7.383745985915e-02 4.510651857841e-09 0
34 5.713543764460e-02 1.992903195729e-01 -7.177400598402e-10 7.177400598402e-10 1.965061820073e-04 4.584234066965e-05 7.421222201379e-02 9.008303339271e-09 0
35 1.967068776823e-01 1.204865864112e-01 -4.394711673367e-08 4.394711673367e-08 5.683183972551e-04 6.921800326831e-05 5.112285589690e-02 3.933786467864e-08 0
36 2.245344048522e-01 1.481585248269e-02 -5.191168982892e-08 5.191168982892e-08 5.915788188739e-04 7.321017045019e-05 8.092429733814e-03 4.330958616448e-08 0
37 2.227020006042e-01 7.414803953570e-02 -5.381690999196e-08 5.381690999196e-08 6.318596107838e-04 7.127729368422e-05 3.309939963227e-02 4.503724304503e-08 0
38 1.562963119785e-01 1.691245699186e-01 -2.991984864909e-08 2.991984864909e-08 4.988778196084e-04 6.659771793946e-05 6.759288642184e-02 3.322412431654e-08 0
39 2.222582069821e-01 1.032996692887e-01 -5.715504177960e-08 5.715504177960e-08 6.682591754925e-04 7.312444247727e-05 4.551810994817e-02 4.886607963821e-08 0
40 1.426277815699e-02 2.248950274734e-01 7.600612263230e-09 7.600612263230e-09 1.218586989554e-04 4.715200870204e-05 8.218472064817e-02 5.745882433564e-09 0
41 1.141106365054e-01 1.985808069867e-01 -1.392408536653e-08 1.392408536653e-08 4.365156114153e-04 5.462829900789e-05 7.595026697741e-02 2.384610534201e-08 0
42 1.991063208368e-01 1.472376854216e-01 -3.733095601309e-08 3.733095601309e-08 5.630046623610e-04 6.023095796526e-05 6.196405796318e-02 3.391031015291e-08 0
43 7.126761570167e-02 2.244994961457e-01 1.547480493419e-09 1.547480493419e-09 3.306326428827e-04 5.110694991963e-05 8.311103190312e-02 1.689762592160e-08 0
44 1.424407179978e-01 1.972782958703e-01 -2.306520804231e-08 2.306520804231e-08 6.013812281188e-04 5.922386774845e-05 7.699978281082e-02 3.561612232051e-08 0
45 1.818968501807e-01 1.683014859381e-01 -2.923935212333e-08 2.923935212333e-08 5.130007079729e-04 6.100124636400e-05 6.894359864543e-02 3.129368257196e-08 0
46 2.490086729516e-01 2.950854015637e-02 -7.131929027644e-08 7.131929027644e-08 7.224730779765e-04 8.132487101015e-05 1.446954056781e-02 5.875502987474e-08 0
47 2.480702189095e-01 5.890142675227e-02 -7.453778910070e-08 7.453778910070e-08 7.439682294241e-04 8.409710753245e-05 2.748881212477e-02 6.256557619061e-08 0
48 9.999279355549e-02 2.243379983425e-01 -5.320966158147e-09 5.320966158147e-09 4.639937076916e-04 5.442176282223e-05 8.413981752189e-02 2.525135551100e-08 0
49 2.464018750399e-01 1.170662272938e-01 -7.377608806169e-08 7.377608806169e-08 7.915790279530e-04 7.809794943650e-05 5.307949348515e-02 6.182069890007e-08 0
50 2.845349932323e-02 2.498773167565e-01 1.570306455358e-08 1.570306455358e-08 3.081873577681e-04 5.077153901274e-05 9.042947646292e-02 1.564714645816e-08 0
51 5.690727778627e-02 2.498146582270e-01 1.258435935070e-08 1.258435935070e-08 3.920865518877e-04 5.200493691692e-05 9.097020155955e-02 2.039043639689e-08 0
52 2.236114316587e-01 1.581432593883e-01 -3.823553040033e-08 3.823553040033e-08 6.044450799612e-04 5.498814187053e-05 6.825969863909e-02 3.323731180985e-08 0
53 2.453556565621e-01 1.451587183829e-01 -6.949684112993e-08 6.949684112993e-08 7.953353857204e-04 7.517963559713e-05 6.490941073004e-02 5.979302447596e-08 0
