# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
0 2.750438546624e-02 1.090433902177e-02 -2.231102184775e-10 2.231102184775e-10 3.204273517846e-05 5.897829268688e-06 5.130922869593e-03 1.889825813843e-10 0
1 1.083771879957e-02 2.757100568843e-02 -2.041159859195e-10 2.041159859195e-10 2.353272565868e-05 5.803742941723e-06 1.128086038902e-02 1.365778904411e-10 0
2 5.170332018737e-02 2.440097017263e-02 -8.333356385976e-10 8.333356385976e-10 5.689040525331e-05 1.410941311936e-05 1.001795095600e-02 8.026902302466e-10 0
3 2.413325206174e-02 5.194489056617e-02 -5.412278021728e-10 5.412278021728e-10 4.418719636497e-05 1.039434612066e-05 2.014077685634e-02 4.592970131190e-10 0
4 4.833218678287e-02 4.877485505037e-02 -9.613095401515e-10 9.613095401515e-10 5.706559316992e-05 1.497753103389e-05 1.907093904324e-02 8.547016926696e-10 0
5 7.419893472113e-02 1.349663115086e-02 -2.189410861625e-09 2.189410861625e-09 9.151418820504e-05 2.081759797171e-05 6.435383688530e-03 1.905105578760e-09 0
6 1.329553326217e-02 7.437388487774e-02 -1.427364620442e-09 1.427364620442e-09 5.636463953292e-05 1.755660630042e-05 2.861886764300e-02 9.895717855448e-10 0
7 6.773997637299e-02 6.873175598808e-02 -3.386865396186e-09 3.386865396186e-09 1.118611967829e-04 2.902370585342e-05 2.690838981245e-02 3.246626471839e-09 0
8 9.827983946909e-02 2.837069741977e-02 -3.668554409406e-09 3.668554409406e-09 1.035145420974e-04 2.532414610498e-05 1.187181521264e-02 2.621417388064e-09 1
9 9.801641582070e-02 6.157469287008e-02 -1.968234552941e-09 1.968234552941e-09 1.260962155657e-04 1.373284375071e-05 2.368200935749e-02 1.731659625918e-09 0
10 2.772207528221e-02 9.871697603594e-02 -2.756980125198e-09 2.756980125198e-09 9.578895458872e-05 2.436175910969e-05 3.774386645127e-02 2.333587437059e-09 0
11 5.796758367190e-02 9.624488266209e-02 -4.713030850266e-09 4.713030850266e-09 1.351300570682e-04 3.196962259218e-05 3.711242205672e-02 4.320056925330e-09 1
12 1.270910178414e-01 1.673332455253e-02 -2.039465908579e-09 2.039465908579e-09 1.304625932724e-04 1.707474060906e-05 7.303477569329e-03 2.227614939312e-09 0
13 1.442654202004e-02 1.243430911582e-01 -3.196414063000e-09 3.196414063000e-09 7.601353885659e-05 2.997738026881e-05 4.710619696580e-02 2.278686759882e-09 0
14 1.210340757128e-01 6.017986285222e-02 -1.016211145773e-09 1.016211145773e-09 7.844820346802e-05 1.095555155562e-05 2.409523965869e-02 8.594433375395e-10 0
15 1.331612546568e-01 8.287209445282e-02 -1.082937555683e-09 1.082937555683e-09 7.575076345586e-05 1.220143359027e-05 3.330342888488e-02 9.242679097188e-10 0
16 1.052809811754e-01 8.416062338807e-02 -6.922071613690e-10 6.922071613690e-10 5.813968908990e-05 1.050014039778e-05 3.315577966915e-02 6.104748981272e-10 0
17 1.198254371817e-01 7.573752689770e-02 -8.976412823143e-10 8.976412823143e-10 7.041795055562e-05 1.146781825015e-05 3.018299147563e-02 8.075402585200e-10 0
18 7.328745988973e-02 1.213155518588e-01 -6.440886213517e-09 6.440886213517e-09 1.458129591285e-04 4.097593793315e-05 4.671826492153e-02 5.974822763097e-09 1
19 1.492627006958e-01 1.490194267294e-02 -1.000317246209e-09 1.000317246209e-09 7.481192205297e-05 1.098032844654e-05 6.471470245250e-03 8.214594758587e-10 0
20 1.609294456613e-01 3.729667128838e-02 -1.214741967633e-09 1.214741967633e-09 8.352611196591e-05 1.200951279934e-05 1.557630421821e-02 1.003107910734e-09 0
21 1.353840578177e-01 3.721304207630e-02 -9.231994825526e-10 9.231994825526e-10 7.415093717368e-05 1.023374144950e-05 1.518850307683e-02 7.588415192736e-10 0
22 1.485254013916e-01 2.980388534587e-02 -9.452996604856e-10 9.452996604856e-10 7.164406559014e-05 1.108132496034e-05 1.237550382355e-02 7.939111722843e-10 0
23 1.348002365064e-01 5.221415241096e-02 -7.863605031724e-10 7.863605031724e-10 6.347379178862e-05 1.046701588888e-05 2.117061950065e-02 6.643811871790e-10 0
24 1.603456243499e-01 5.229778162304e-02 -1.300110260324e-09 1.300110260324e-09 8.633163946180e-05 1.262535299684e-05 2.169213874053e-02 1.089967423001e-09 0
25 1.469274154505e-01 7.490638401156e-02 -1.143697784543e-09 1.143697784543e-09 8.058398580521e-05 1.217409261062e-05 3.050371573984e-02 9.810369061255e-10 0
26 1.473577587689e-01 5.980610601518e-02 -1.039192239473e-09 1.039192239473e-09 7.600746052643e-05 1.147366752397e-05 2.445679501333e-02 8.720843314216e-10 0
27 1.056309910106e-01 9.816292658039e-02 -8.581021437272e-10 8.581021437272e-10 6.890759439641e-05 1.154640826459e-05 3.853858329360e-02 7.956352174318e-10 0
28 1.335112644920e-01 9.687439764514e-02 -7.617067874116e-10 7.617067874116e-10 6.774268264765e-05 1.138497141071e-05 3.879371929544e-02 7.712485052285e-10 0
29 1.224341150535e-01 1.161890756215e-01 -6.876803129305e-10 6.876803129305e-10 6.339311669564e-05 1.334815948102e-05 4.591855336984e-02 8.461814316526e-10 0
30 1.205254568520e-01 1.037421332823e-01 -7.858840359981e-10 7.858840359981e-10 6.614435885230e-05 1.268913344109e-05 4.107722395495e-02 8.393145958524e-10 0
31 1.021162940190e-01 1.200408172455e-01 -5.859164728012e-09 5.859164728012e-09 1.536923974963e-04 3.893656287732e-05 4.805502660050e-02 5.984253698881e-09 1
32 2.874814242602e-02 1.490712560559e-01 -3.486585568937e-09 3.486585568937e-09 9.430172046859e-05 3.640921224097e-05 5.614790260062e-02 3.433451355229e-09 1
33 5.736355190601e-02 1.485158101303e-01 -4.775517171936e-09 4.775517171936e-09 1.390413168079e-04 3.824856830057e-05 5.633903083663e-02 5.318131302529e-09 1
34 1.738889932873e-01 2.985963815392e-02 -1.487803966607e-09 1.487803966607e-09 9.384409366405e-05 1.318345732193e-05 1.271250234023e-02 1.237189603735e-09 0
35 1.622222483218e-01 7.464909538481e-03 -1.222549920562e-09 1.222549920562e-09 8.333644609105e-05 1.211242502315e-05 3.789925519573e-03 1.009406454974e-09 0
36 1.872222483218e-01 7.464909538481e-03 -1.829837263042e-09 1.829837263042e-09 1.056542778085e-04 1.430235323150e-05 3.892769657356e-03 1.511104801637e-09 0
37 1.744444966436e-01 1.492981907696e-02 -1.475159199525e-09 1.475159199525e-09 9.411618376840e-05 1.286419508652e-05 6.648586941712e-03 1.210728948795e-09 0
38 1.848505265987e-01 8.234462078735e-02 -2.137075844074e-09 2.137075844074e-09 1.199047582617e-04 1.507256558872e-05 3.475815315069e-02 1.807272333299e-09 0
