# spectral_reference 9.14110005950467e-01
# spectral_reference_change 2.11874962019465e-12
# strategy level elements dofs functional absolute_error
residual 0 930 506 9.14106785225443e-01 3.22072502412230e-06
residual 1 999 547 9.14108774858977e-01 1.23109148975065e-06
residual 2 1134 622 9.14107538094223e-01 2.46785624424817e-06
residual 3 1395 761 9.14113919872791e-01 3.91392232412802e-06
residual 4 1914 1037 9.14115422141060e-01 5.41619059291065e-06
dual 0 930 506 9.14106785225443e-01 3.22072502412230e-06
dual 1 990 542 9.14115361724574e-01 5.35577410720744e-06
dual 2 1140 627 9.14113238914333e-01 3.23296386606220e-06
dual 3 1389 765 9.14113299399924e-01 3.29344945737553e-06
dual 4 1878 1027 9.14113303395973e-01 3.29744550608968e-06
dwr 0 930 506 9.14106785225443e-01 3.22072502412230e-06
dwr 1 1755 989 9.14115003140896e-01 4.99719042923452e-06
dwr 2 2847 1537 9.14117822364903e-01 7.81641443625691e-06
dwr 3 5190 2816 9.14116215418673e-01 6.20946820628632e-06
dwr 4 8781 4667 9.14114401499505e-01 4.39554903830519e-06
dwr 5 13911 7153 9.14112537871680e-01 2.53192121302259e-06
dwr 6 26070 13539 9.14111764879972e-01 1.75892950560197e-06
